Medicinal product categorized by disposition,37
Enzyme inhibitor-containing product,20
Adrenergic receptor agonist-containing product,12
Beta adrenergic receptor agonist-containing product,12
COX-2 inhibitor-containing product,11
Histamine receptor antagonist-containing product,8
Hormone-containing product,8
Hydrolase inhibitor-containing product,7
Selective beta-2 agonist-containing product,7
Sigma-1 receptor agonist-containing product,6
NMDA receptor antagonist-containing product,6
Peptide hydrolase inhibitor-containing product,5
Alpha adrenergic receptor agonist-containing product,5
Progesterone receptor agonist-containing product,5
Alpha-adrenergic and beta-adrenergic agonist-containing product,5
Platelet aggregation inhibitor-containing product,4
Angiotensin-converting enzyme inhibitor-containing product,4
Histamine H1 receptor antagonist-containing product,4
Immunomodulator-containing product,3
HMG-CoA reductase inhibitor-containing product,3
Selective serotonin re-uptake inhibitor-containing product,3
Calcium regulating hormone-containing product,3
Morphinan opioid-containing product,2
Transferase inhibitor-containing product,2
Reverse transcriptase inhibitor-containing product,2
Opioid receptor agonist-containing product,2
Cephalosporin antibacterial agent,1
Sodium glucose cotransporter subtype 2 inhibitor-containing product,1
Glucagon-like peptide 1 receptor agonist-containing product,1
Cytochrome P450 inhibitor-containing product,1
Proton pump inhibitor-containing product,1
Serotonin 5-HT1 receptor agonist-containing product,1
Interleukin-4 receptor alpha antagonist-containing product,1
Third generation cephalosporin antibacterial agent,1
Dopamine receptor agonist-containing product,1
Interleukin receptor antagonist-containing product,1
Fluoroquinolone antibacterial agent,1
Estrogen receptor agonist-containing product,1
Proteinase inhibitor-containing product,1
5-HT3 receptor antagonist-containing product,1
Propylamine derivative histamine receptor antagonist product,1
Serotonin receptor agonist-containing product,1
Adrenergic receptor antagonist-containing product,1
Serine proteinase inhibitor-containing product,1
Dipeptidyl peptidase IV inhibitor-containing product,1
Hormone receptor antagonist-containing product,1
Estrogen receptor antagonist-containing product,1
Adrenal cortex hormone-containing product,1
Adrenal hormone-containing product,1
Thiazolidinedione-containing product,1
Peroxisome proliferator-activated gamma receptor agonist-containing product,1
Peroxisome proliferator-activated receptor agonist-containing product,1
5-alpha reductase inhibitor-containing product,1
Beta adrenergic receptor antagonist-containing product,1
Phosphodiesterase inhibitor-containing product,1
Calcium channel blocker-containing product,1
Broad spectrum penicillin antibacterial agent,1
Aminopenicillin antibacterial agent,1
Piperazine derivative histamine receptor antagonist product,1
