Established Pharmacologic Class (EPC),42
Nervous System Agent,23
Enzyme Interaction,23
Enzyme Inhibitor,23
Receptor Interaction,22
Chemical Structure,22
Receptor Agonist,21
Hormone,16
Nonsteroidal Anti-inflammatory Drug,15
Adrenergic Receptor Agonist,12
Sympathomimetic Agent,12
Vitamin or Mineral,12
Receptor Antagonist,11
Respiratory Agent,11
Antimicrobial,10
Anti-infective,10
Vitamin C,9
Ion Channel or Pump Agent,8
Corticosteroid,8
beta-Adrenergic Agonist,7
beta2-Adrenergic Agonist,7
Cardiovascular Agent,6
Uncompetitive N-methyl-D-aspartate Receptor Antagonist,6
Non-narcotic Antitussive,6
Blood Glucose Regulator,6
Biguanide,6
Sigma-1 Agonist,6
Vitamin B12,5
alpha-Adrenergic Agonist,5
Protease Inhibitor,5
Progestin,5
Antihistamine,4
Angiotensin Converting Enzyme Inhibitor,4
Hematology Agent,4
Platelet Aggregation Inhibitor,4
Histamine-1 Receptor Antagonist,4
HMG-CoA Reductase Inhibitor,3
l-Thyroxine,3
Vitamin A,3
Expectorant,3
Nicotinic Acid,3
Macrolide,3
Sulfonylurea,3
Vitamin D,3
Serotonin Reuptake Inhibitor,3
Macrolide Antimicrobial,3
Gastrointestinal Agent,2
Progestin-containing Intrauterine Device,2
Nucleic Acid Synthesis Inhibitor,2
Nucleic Acid Related Agent,2
Nucleoside Analog Antiviral,2
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,2
Central Nervous System Stimulant,1
Sodium-Glucose Cotransporter 2 Inhibitor,1
Proton Pump Inhibitor,1
Antibacterial,1
Omega-3 Fatty Acid,1
GLP-1 Receptor Agonist,1
Cephalosporin Antibacterial,1
Thyroid Hormone Synthesis Inhibitor,1
Serotonin-1b and Serotonin-1d Receptor Agonist,1
Nonergot Dopamine Agonist,1
Interleukin-4 Receptor alpha Antagonist,1
Interleukin Agent,1
Immunologic Agent,1
Estrogen,1
Antiemetic,1
Serotonin-3 Receptor Antagonist,1
Tetracycline-class Drug,1
Estrogen Agonist/Antagonist,1
Benzodiazepine,1
Diuretic,1
Anti-epileptic Agent,1
Phosphate Binder,1
Physical or Chemical Agent,1
Calcium,1
Mood Stabilizer,1
Thiazide-like Diuretic,1
beta-Adrenergic Blocker,1
Dipeptidyl Peptidase 4 Inhibitor,1
5-alpha Reductase Inhibitor,1
Peroxisome Proliferator Receptor alpha Agonist,1
Peroxisome Proliferator Receptor gamma Agonist,1
Thiazolidinedione,1
Opioid Agonist,1
Methylxanthine,1
Quinolone Antimicrobial,1
