Cerebrovascular accident,12
Death,10
Myocardial infarction,10
Gastrointestinal haemorrhage,9
Haemorrhage,9
Metabolic acidosis,5
Lactic acidosis,5
Hypothermia,5
Malaise,5
Hypotension,5
Renal ischaemia,5
Renal impairment,5
Hepatic function abnormal,5
Respiratory distress,5
Somnolence,5
Abdominal pain,5
Dehydration,5
Cardiac failure,5
Bronchospasm,3
Weight decreased,3
"Hallucination, visual",3
Depression,3
Hypersensitivity,3
Abnormal behaviour,3
Laryngospasm,3
Liver injury,2
Accidental overdose,2
Hepatotoxicity,2
Acute hepatic failure,2
Liver transplant,2
Cardiac failure congestive,1
Dyspnoea,1
Endometrial adenocarcinoma,1
Pulmonary embolism,1
Endometrial cancer,1
Breast cancer,1
Coma,1
Respiratory depression,1
Dependence,1
Sedation,1
