Anatomical Therapeutic Chemical (ATC1-4),44
RESPIRATORY SYSTEM,26
NERVOUS SYSTEM,24
GENITO URINARY SYSTEM AND SEX HORMONES,24
ALIMENTARY TRACT AND METABOLISM,22
ANALGESICS,22
CARDIOVASCULAR SYSTEM,20
OTHER ANALGESICS AND ANTIPYRETICS,18
Anilides,15
DERMATOLOGICALS,14
SENSORY ORGANS,14
OPHTHALMOLOGICALS,14
NASAL PREPARATIONS,13
COUGH AND COLD PREPARATIONS,12
OPIOIDS,12
Opioids in combination with non-opioid analgesics,12
ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,11
TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,11
Propionic acid derivatives,11
"Antiinflammatory preparations, non-steroids for topical use",11
OTHER GYNECOLOGICALS,11
MUSCULO-SKELETAL SYSTEM,11
Antiinflammatory products for vaginal administration,11
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",11
STOMATOLOGICAL PREPARATIONS,10
VITAMINS,10
Other cardiac preparations,10
"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",10
THROAT PREPARATIONS,10
OTHER CARDIAC PREPARATIONS,10
CARDIAC THERAPY,10
Other throat preparations,10
"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",9
"Ascorbic acid (vitamin C), plain",9
Organic acids,9
OTHER OPHTHALMOLOGICALS,9
Other ophthalmologicals,9
DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,9
"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",9
GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,9
DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,8
BLOOD AND BLOOD FORMING ORGANS,8
Corticosteroids,8
ANTIHISTAMINES FOR SYSTEMIC USE,8
"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",8
"CORTICOSTEROIDS, PLAIN",8
Glucocorticoids,8
