Organ System Specific Effects,5
Physiologic Effect (PE),5
Cardiovascular Activity Alteration,4
Increased Blood Pressure,3
Blood Pressure Alteration,3
Decreased Organized Electrical Activity,1
Hematologic Activity Alteration,1
Coagulation Activity Alteration,1
Hemostasis Alteration,1
Increased Coagulation Activity,1
Electrical Activity Alteration,1
Nervous System Activity Alteration,1
Organized Electrical Activity Alteration,1
Decreased Central Nervous System Organized Electrical Activity,1
Cardiac Rate Alteration,1
Negative Chronotropy,1
Hemic/Lymphatic Activity Alteration,1
