VA CLASSES,45
RESPIRATORY TRACT MEDICATIONS,27
CENTRAL NERVOUS SYSTEM MEDICATIONS,25
ANALGESICS,22
HORMONES/SYNTHETICS/MODIFIERS,18
"COLD REMEDIES,COMBINATIONS",17
NON-OPIOID ANALGESICS,17
MUSCULOSKELETAL MEDICATIONS,16
"NONSALICYLATE NSAIs,ANTIRHEUMATIC",13
ANTIRHEUMATICS,13
OPIOID ANALGESICS,12
"CNS MEDICATIONS,OTHER",12
"COLD REMEDIES,OTHER",12
ANTITUSSIVES/EXPECTORANTS,11
NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,11
GASTROINTESTINAL MEDICATIONS,10
"VITAMINS,COMBINATIONS",9
VITAMINS,9
MULTIVITAMINS,9
ANTIASTHMA/BRONCHODILATORS,8
"VITAMIN COMBINATIONS,OTHER",8
MULTIVITAMINS WITH MINERALS,8
"ANTIASTHMA,OTHER",7
NON-STEROIDAL ANTI-INFLAMMATORY ANALGESICS,7
"BRONCHODILATORS,SYMPATHOMIMETIC,ORAL",6
"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION",6
ANTIHISTAMINE/ANTITUSSIVE,6
VITAMIN C,6
THERAPEUTIC NUTRIENTS/MINERALS/ELECTROLYTES,6
HYPEROSMOTIC LAXATIVES,6
IRON,6
LAXATIVES,6
ANTIMICROBIALS,6
ELECTROLYTES/MINERALS,6
BLOOD GLUCOSE REGULATION AGENTS,6
"ORAL HYPOGLYCEMIC AGENTS,ORAL",6
CARDIOVASCULAR MEDICATIONS,6
ANTIHYPERTENSIVE COMBINATIONS,5
"CONTRACEPTIVES,SYSTEMIC",5
ANTIHISTAMINE/DECONGESTANT/EXPECTORANT,5
ANTIHISTAMINE/DECONGESTANT/ANTITUSSIVE/ANALGESIC,5
IMMUNOLOGICAL AGENTS,4
"ANTI-INFLAMMATORIES,INHALATION",4
ACE INHIBITORS,4
"ANTI-INFLAMMATORIES,NASAL",4
THYROID MODIFIERS,4
VACCINES,4
"DECONGESTANTS,SYSTEMIC",4
"NASAL AND THROAT AGENTS,TOPICAL",4
"VITAMIN B,OTHER",3
PLATELET AGGREGATION INHIBITORS,3
VITAMIN B,3
ERYTHROMYCINS/MACROLIDES,3
DERMATOLOGICAL AGENTS,3
DECONGESTANT/ANTITUSSIVE/EXPECTORANT/ANALGESIC,3
"ANTI-INFECTIVE,TOPICAL OPHTHALMIC",3
OPHTHALMIC AGENTS,3
"ANTIBACTERIALS,TOPICAL OPHTHALMIC",3
SKELETAL MUSCLE RELAXANTS,3
ANTACIDS,3
"ANTIDEPRESSANTS,OTHER",3
ANTINEOPLASTICS,3
ANTINEOPLASTIC HORMONES,3
SODIUM BICARBONATE CONTAINING ANTACIDS,3
GLUCOCORTICOIDS,3
ADRENAL CORTICOSTERIODS,3
ANTILIPEMIC AGENTS,3
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",3
ANTIDEPRESSANTS,3
ANTIMIGRAINE AGENTS,3
ANTIHISTAMINES,3
"ANTIHISTAMINES,PIPERAZINE",3
BLOOD PRODUCTS/MODIFIERS/VOLUME EXPANDERS,3
THYROID SUPPLEMENTS,3
CALCIUM CHANNEL BLOCKERS,3
CYANOCOBALAMIN,2
"ANTI-INFLAMMATORY,TOPICAL",2
ANTIHISTAMINE/ANTITUSSIVE/ANALGESIC,2
DECONGESTANT/ANTITUSSIVE/ANALGESIC,2
PROGESTINS,2
PENICILLINS AND BETA-LACTAM ANTIMICROBIALS,2
ANTIVIRALS,2
ANTICONVULSANTS,2
DIURETICS,1
ANTIPARKINSON AGENTS,1
ANTIEMETICS,1
DECONGESTANT/EXPECTORANT,1
DECONGESTANT/ANTITUSSIVE/EXPECTORANT,1
ANTIVERTIGO AGENTS,1
OTIC AGENTS,1
"ANTIBACTERIALS,TOPICAL OTIC",1
OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,1
ANTIHISTAMINE/DECONGESTANT/ANTITUSSIVE,1
HERBS/ALTERNATIVE THERAPIES,1
"ANTIHISTAMINES,NASAL",1
"DERMATOLOGICALS,SYSTEMIC,OTHER",1
"HYPOGLYCEMIC AGENTS,OTHER",1
ANTITHYROID AGENTS,1
ANTIHISTAMINE/DECONGESTANT,1
CEPHALOSPORIN 3RD GENERATION,1
"GASTRIC MEDICATIONS,OTHER",1
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,1
TETRACYCLINES,1
SEDATIVES/HYPONTICS,1
"PENICILLINS,AMINO DERIVATIVES",1
THIAZIDES/RELATED DIURETICS,1
"ANTIHISTAMINES,OTHER",1
BETA BLOCKERS/RELATED,1
"ANTI-INFECTIVE,TOPICAL OTIC",1
